Log not found for this step.tag	name	text	class	description	position (top-left x&y)	size (w&h)
label	Home	Home			(1833, 1037)	(40, 17)
menu	LibreOffice Calc	""			(99, 0)	(165, 27)
menu	System	""			(1814, 0)	(106, 27)
push-button	Google Chrome	""			(0, 33)	(70, 64)
push-button	Thunderbird Mail	""			(0, 101)	(70, 64)
push-button	Visual Studio Code	""			(0, 169)	(70, 64)
push-button	VLC media player	""			(0, 237)	(70, 64)
push-button	LibreOffice Writer	""			(0, 305)	(70, 64)
push-button	LibreOffice Calc	""			(0, 373)	(70, 64)
push-button	LibreOffice Impress	""			(0, 441)	(70, 64)
push-button	GNU Image Manipulation Program	""			(0, 509)	(70, 64)
push-button	Files	""			(0, 577)	(70, 64)
push-button	Ubuntu Software	""			(0, 645)	(70, 64)
push-button	Help	""			(0, 713)	(70, 64)
push-button	Trash	""			(0, 784)	(70, 64)
toggle-button	Show Applications	""			(0, 1010)	(70, 70)
menu	File	""			(70, 64)	(40, 25)
menu	Edit	""			(110, 64)	(43, 25)
menu	View	""			(153, 64)	(49, 25)
menu	Insert	""			(202, 64)	(55, 25)
menu	Format	""			(257, 64)	(66, 25)
menu	Styles	""			(323, 64)	(56, 25)
menu	Sheet	""			(379, 64)	(54, 25)
menu	Data	""			(433, 64)	(48, 25)
menu	Tools	""			(481, 64)	(52, 25)
menu	Window	""			(533, 64)	(70, 25)
menu	Help	""			(603, 64)	(47, 25)
menu	File	File			(70, 64)	(40, 21)
menu	Edit	Edit			(110, 64)	(43, 21)
menu	View	View			(153, 64)	(50, 21)
menu	Insert	Insert			(203, 64)	(56, 21)
menu	Format	Format			(259, 64)	(66, 21)
menu	Styles	Styles			(325, 64)	(56, 21)
menu	Sheet	Sheet			(381, 64)	(55, 21)
menu	Data	Data			(436, 64)	(48, 21)
menu	Tools	Tools			(484, 64)	(53, 21)
menu	Window	Window			(537, 64)	(73, 21)
menu	Help	Help			(610, 64)	(48, 21)
scroll-bar	Vertical scroll bar	""			(1849, 186)	(12, 811)
scroll-bar	Horizontal scroll bar	""			(70, 997)	(1774, 12)
