tag	name	text	class	description	position (top-left x&y)	size (w&h)
label	Home	Home			(1833, 1037)	(40, 17)
menu	LibreOffice Calc	""			(99, 0)	(165, 27)
menu	System	""			(1814, 0)	(106, 27)
push-button	Google Chrome	""			(0, 33)	(70, 64)
push-button	Thunderbird Mail	""			(0, 101)	(70, 64)
push-button	Visual Studio Code	""			(0, 169)	(70, 64)
push-button	VLC media player	""			(0, 237)	(70, 64)
push-button	LibreOffice Writer	""			(0, 305)	(70, 64)
push-button	LibreOffice Calc	""			(0, 373)	(70, 64)
push-button	LibreOffice Impress	""			(0, 441)	(70, 64)
push-button	GNU Image Manipulation Program	""			(0, 509)	(70, 64)
push-button	Files	""			(0, 577)	(70, 64)
push-button	Ubuntu Software	""			(0, 645)	(70, 64)
push-button	Help	""			(0, 713)	(70, 64)
push-button	Soffice	""			(0, 784)	(70, 64)
push-button	Trash	""			(0, 852)	(70, 64)
toggle-button	Show Applications	""			(0, 1010)	(70, 70)
alert	Question	""			(674, 432)	(643, 243)
label	Document in Use	Document in Use			(923, 448)	(145, 17)
icon	Question	""			(731, 476)	(48, 48)
label	Document file 'Invoices.xlsx' is locked for editing by yourself on a different system since 14.11.2025 23:22

Open document read-only, or ignore own file locking and open the document for editing.
Select Notify to open read-only and get notified when the document becomes editable.	Document file 'Invoices.xlsx' is locked for editing by yourself on a different system since 14.11.2025 23:22

Open document read-only, or ignore own file locking and open the document for editing.
Select Notify to open read-only and get notified when the document becomes editable.			(821, 476)	(451, 119)
push-button	Open Read-Only	""			(684, 620)	(156, 45)
push-button	Notify	""			(840, 620)	(156, 45)
push-button	Open	""			(996, 620)	(156, 45)
push-button	Cancel	""			(1152, 620)	(155, 45)
menu	File	""			(70, 64)	(40, 25)
menu	Edit	""			(110, 64)	(43, 25)
menu	View	""			(153, 64)	(49, 25)
menu	Insert	""			(202, 64)	(55, 25)
menu	Format	""			(257, 64)	(66, 25)
menu	Tools	""			(323, 64)	(52, 25)
menu	Window	""			(375, 64)	(70, 25)
menu	Help	""			(445, 64)	(47, 25)
menu	File	File			(70, 64)	(40, 21)
menu	Edit	Edit			(110, 64)	(43, 21)
