LINEAR AT: tag	name	text	class	description	position (top-left x&y)	size (w&h)
label	multimedia_​classroom_​podium-​2020.​pptx	multimedia_​classroom_​podium-​2020.​pptx			(1793, 920)	(120, 34)
label	Home	Home			(1833, 1037)	(40, 17)
label	.​~lock.​multimedia_​classroom_​podium-​2020.​pptx#	.​~lock.​multimedia_​classroom_​podium-​2020.​pptx#			(1793, 803)	(120, 34)
menu	LibreOffice Impress	""			(99, 0)	(191, 27)
menu	System	""			(1814, 0)	(106, 27)
push-button	Google Chrome	""			(0, 33)	(70, 64)
push-button	Thunderbird Mail	""			(0, 101)	(70, 64)
push-button	Visual Studio Code	""			(0, 169)	(70, 64)
push-button	VLC media player	""			(0, 237)	(70, 64)
push-button	LibreOffice Writer	""			(0, 305)	(70, 64)
push-button	LibreOffice Calc	""			(0, 373)	(70, 64)
push-button	LibreOffice Impress	""			(0, 441)	(70, 64)
push-button	GNU Image Manipulation Program	""			(0, 509)	(70, 64)
push-button	Files	""			(0, 577)	(70, 64)
push-button	Ubuntu Software	""			(0, 645)	(70, 64)
push-button	Help	""			(0, 713)	(70, 64)
push-button	Trash	""			(0, 784)	(70, 64)
toggle-button	Show Applications	""			(0, 1010)	(70, 70)
menu	File	""			(70, 64)	(40, 25)
menu	Edit	""			(110, 64)	(43, 25)
menu	View	""			(153, 64)	(49, 25)
menu	Insert	""			(202, 64)	(55, 25)
menu	Format	""			(257, 64)	(66, 25)
menu	Slide	""			(323, 64)	(49, 25)
menu	Slide Show	""			(372, 64)	(87, 25)
menu	Tools	""			(459, 64)	(52, 25)
menu	Window	""			(511, 64)	(70, 25)
menu	Help	""			(581, 64)	(47, 25)
menu	File	File			(70, 64)	(40, 21)
menu	Edit	Edit			(110, 64)	(43, 21)
menu	View	View			(153, 64)	(50, 21)
menu	Insert	Insert			(203, 64)	(56, 21)
menu	Format	Format			(259, 64)	(66, 21)
menu	Slide	Slide			(325, 64)	(49, 21)
menu	Slide Show	Slide Show			(374, 64)	(90, 21)
menu	Tools	Tools			(464, 64)	(53, 21)
menu	Window	Window			(517, 64)	(73, 21)
menu	Help	Help			(590, 64)	(48, 21)
document-presentation	multimedia_classroom_podium-2020 - LibreOffice Presentation	""			(273, 142)	(1225, 879)
paragraph		Button Style Podium			(518, 354)	(272, 107)
paragraph		Multimedia Classroom Podium
Tutorial and User Guide			(651, 154)	(698, 97)
paragraph		Button Style Podium			(330, 313)	(229, 27)
paragraph		 On/Off Button			(330, 365)	(120, 21)
paragraph		Volume Control			(330, 385)	(129, 21)
paragraph		 Display Mute/Unmute             Lectern Computer			(330, 405)	(181, 80)
paragraph		 Laptop Image			(330, 484)	(122, 21)
paragraph		Doc. Camera Image			(330, 504)	(169, 21)
paragraph		HDMI Laptop			(330, 524)	(116, 22)
paragraph		USB Connection			(330, 545)	(144, 22)
paragraph		SuperPlate Panel			(330, 587)	(160, 24)
paragraph		   HDMI Laptop			(330, 610)	(123, 20)
paragraph		   VGA Laptop			(330, 629)	(114, 21)
