LINEAR AT: tag	name	text	class	description	position (top-left x&y)	size (w&h)
label	Constitution_​Template_​With_​Guidelines.​docx	Constitution_​Template_​With_​Guidelines.​docx			(1793, 920)	(120, 34)
label	Home	Home			(1833, 1037)	(40, 17)
label	.​~lock.​Constitution_​Template_​With_​Guidelines.​docx#	.​~lock.​Constitution_​Template_​With_​Guidelines.​docx#			(1793, 803)	(120, 34)
menu	LibreOffice Writer	""			(99, 0)	(180, 27)
menu	System	""			(1814, 0)	(106, 27)
push-button	Google Chrome	""			(0, 33)	(70, 64)
push-button	Thunderbird Mail	""			(0, 101)	(70, 64)
push-button	Visual Studio Code	""			(0, 169)	(70, 64)
push-button	VLC media player	""			(0, 237)	(70, 64)
push-button	LibreOffice Writer	""			(0, 305)	(70, 64)
push-button	LibreOffice Calc	""			(0, 373)	(70, 64)
push-button	LibreOffice Impress	""			(0, 441)	(70, 64)
push-button	GNU Image Manipulation Program	""			(0, 509)	(70, 64)
push-button	Files	""			(0, 577)	(70, 64)
push-button	Ubuntu Software	""			(0, 645)	(70, 64)
push-button	Help	""			(0, 713)	(70, 64)
push-button	Trash	""			(0, 784)	(70, 64)
toggle-button	Show Applications	""			(0, 1010)	(70, 70)
menu	File	""			(70, 64)	(40, 25)
menu	Edit	""			(110, 64)	(43, 25)
menu	View	""			(153, 64)	(49, 25)
menu	Insert	""			(202, 64)	(55, 25)
menu	Format	""			(257, 64)	(66, 25)
menu	Styles	""			(323, 64)	(56, 25)
menu	Table	""			(379, 64)	(53, 25)
menu	Form	""			(432, 64)	(52, 25)
menu	Tools	""			(484, 64)	(52, 25)
menu	Window	""			(536, 64)	(70, 25)
menu	Help	""			(606, 64)	(47, 25)
menu	File	File			(70, 89)	(40, 21)
menu	Edit	Edit			(110, 89)	(43, 21)
menu	View	View			(153, 89)	(50, 21)
menu	Insert	Insert			(203, 89)	(56, 21)
menu	Format	Format			(259, 89)	(66, 21)
menu	Styles	Styles			(325, 89)	(56, 21)
menu	Table	Table			(381, 89)	(53, 21)
menu	Form	Form			(434, 89)	(52, 21)
menu	Tools	Tools			(486, 89)	(53, 21)
menu	Window	Window			(539, 89)	(73, 21)
menu	Help	Help			(612, 89)	(48, 21)
document-text	Constitution_Template_With_Guidelines - LibreOffice Document	""			(70, 191)	(1779, 868)
paragraph		Guidelines on drawing up a Constitution			(563, 306)	(793, 19)
